frame,cpu_total,cpu0,cpu1,cpu2,cpu3,mem_used_mb,mem_total_mb,temp_c,freq_mhz,throttled
100,26.6,29.2,27.2,26.4,23.6,1637.4,16214.9,85.9,2400.0,917510
200,29.6,30.7,33.1,27.5,27.6,1649.5,16214.9,84.3,1900.0,917512
300,29.5,27.6,29.9,33.5,27.2,1656.6,16214.9,84.3,2400.0,917512
400,28.9,29.4,31.9,27.7,26.4,1677.3,16214.9,85.9,2400.0,917510
500,29.3,30.9,31.1,26.7,29.2,1675.0,16214.9,85.9,2400.0,917510
600,29.8,30.5,30.1,30.9,26.7,1666.6,16214.9,86.5,2400.0,917510
700,28.4,29.8,28.1,29.0,26.4,1673.7,16214.9,85.9,2400.0,917510
800,29.0,30.6,32.0,31.2,22.0,1670.0,16214.9,85.4,2400.0,917510
900,28.5,26.9,29.4,33.1,25.0,1670.8,16214.9,85.4,2400.0,917510
1000,29.4,30.4,31.5,27.3,28.5,1675.6,16214.9,83.7,2400.0,917512
1100,29.4,29.7,31.1,31.0,26.3,1673.0,16214.9,85.4,2400.0,917510
1200,29.8,29.9,29.2,34.3,25.1,1675.7,16214.9,85.4,2400.0,917510
1300,28.7,30.6,27.4,30.4,26.6,1676.5,16214.9,85.4,2400.0,917510
1400,29.5,27.4,32.7,31.2,26.4,1674.5,16214.9,85.4,2400.0,917510
1500,29.5,30.2,31.8,29.0,27.0,1675.7,16214.9,85.9,2400.0,917510
1600,28.1,33.8,28.3,26.8,23.6,1675.2,16214.9,86.5,2400.0,917510
1700,28.6,31.0,30.4,27.9,25.4,1675.9,16214.9,85.4,2400.0,917510
1800,28.9,27.9,34.2,26.8,26.1,1672.6,16214.9,84.8,2400.0,917510
1900,29.2,30.6,28.1,33.3,25.2,1674.5,16214.9,84.3,2400.0,917512
2000,29.4,32.3,31.8,29.1,24.2,1672.6,16214.9,85.4,2400.0,917512
2100,28.0,28.8,26.3,32.7,24.7,1674.1,16214.9,85.4,2400.0,917510
2200,29.6,30.4,30.8,31.8,24.5,1680.6,16214.9,85.4,2400.0,917510
2300,28.7,25.6,32.3,32.4,24.1,1681.5,16214.9,85.4,2400.0,917510
2400,28.2,30.2,32.1,28.0,23.4,1675.8,16214.9,84.3,2400.0,917510
2500,28.4,25.3,31.8,32.1,23.9,1673.5,16214.9,85.4,2400.0,917510
2600,28.6,28.5,30.0,29.4,26.2,1673.3,16214.9,85.9,2400.0,917512
2700,28.4,28.5,29.2,28.8,27.0,1674.6,16214.9,84.3,2400.0,917512
2800,28.2,24.2,32.6,32.7,23.7,1678.3,16214.9,84.8,2400.0,917510
2900,29.0,23.7,32.2,27.3,32.9,1676.0,16214.9,84.3,2400.0,917512
3000,28.9,27.8,28.9,26.7,32.2,1671.6,16214.9,86.5,2400.0,917510
3100,28.2,25.6,32.0,26.9,28.3,1674.5,16214.9,85.4,1900.0,917512
3200,29.2,25.9,34.6,26.4,30.0,1676.5,16214.9,85.4,2400.0,917510
3300,28.1,24.8,27.6,28.9,31.4,1675.4,16214.9,85.4,2400.0,917510
3400,28.5,22.1,33.4,29.8,28.2,1672.7,16214.9,85.4,2400.0,917510
3500,28.4,25.8,29.4,28.3,29.8,1672.6,16214.9,85.4,2400.0,917510
3600,28.7,24.8,29.7,28.3,32.0,1677.3,16214.9,84.3,2400.0,917510
3700,28.9,26.4,31.7,29.3,28.7,1677.2,16214.9,85.9,2400.0,917510
3800,28.3,23.9,25.8,31.3,31.6,1674.1,16214.9,85.4,2400.0,917510
3900,28.0,22.7,33.7,26.4,28.9,1674.1,16214.9,87.0,2400.0,917510
4000,28.5,25.2,31.6,30.8,26.6,1673.6,16214.9,85.9,2400.0,917510
4100,28.5,23.3,31.8,30.0,28.9,1680.5,16214.9,85.9,2400.0,917510
4200,28.8,25.6,25.8,30.6,33.0,1674.1,16214.9,84.3,1800.0,917512
4300,28.6,24.0,29.9,34.7,25.9,1672.2,16214.9,85.4,2400.0,917510
4400,28.5,25.8,27.9,33.0,27.3,1673.2,16214.9,87.0,2400.0,917510
4500,28.7,22.7,28.9,35.8,27.5,1673.2,16214.9,85.4,2400.0,917510
4600,28.9,24.6,33.6,28.2,28.8,1675.7,16214.9,85.4,2400.0,917510
4700,29.3,26.5,29.6,28.1,33.1,1674.9,16214.9,84.3,2400.0,917512
4800,28.9,23.6,32.4,32.1,27.6,1675.0,16214.9,84.8,2400.0,917510
4900,28.9,22.1,25.7,32.8,34.8,1673.3,16214.9,85.9,2400.0,917510
5000,28.3,21.1,30.2,30.4,31.1,1673.8,16214.9,85.4,2400.0,917510
5100,28.9,26.9,28.9,30.1,30.2,1672.0,16214.9,85.9,2400.0,917510
5200,28.8,25.2,29.7,29.7,30.6,1679.9,16214.9,85.9,2400.0,917510
5300,28.6,22.8,28.1,33.8,30.1,1674.7,16214.9,85.4,2400.0,917512
5400,28.2,20.0,29.5,35.0,28.0,1673.4,16214.9,85.9,2400.0,917510
5500,28.1,18.4,32.5,32.4,28.5,1672.4,16214.9,85.4,2400.0,917510
5600,28.1,23.2,32.6,25.8,30.6,1675.2,16214.9,85.9,2400.0,917510
5700,28.9,21.7,32.6,29.7,31.8,1675.8,16214.9,86.5,2400.0,917510
5800,28.0,21.4,33.1,30.5,26.6,1675.6,16214.9,85.9,2400.0,917510
5900,28.2,22.2,29.8,33.1,28.1,1675.5,16214.9,85.4,2400.0,917510
6000,27.8,18.7,33.0,29.6,29.4,1676.7,16214.9,85.4,2400.0,917510
6100,27.5,18.7,28.1,32.9,30.4,1673.2,16214.9,85.9,2400.0,917510
6200,28.8,21.3,31.8,27.7,33.9,1677.6,16214.9,85.4,2400.0,917510
6300,27.9,18.9,33.2,29.1,30.0,1673.0,16214.9,85.4,2400.0,917510
6400,27.8,16.2,31.0,40.2,23.6,1672.9,16214.9,85.4,2400.0,917510
6500,28.2,20.8,32.8,28.8,30.9,1674.9,16214.9,85.4,2400.0,917510
6600,28.3,20.8,33.4,29.9,28.8,1676.4,16214.9,85.4,2400.0,917510
6700,28.1,20.4,35.1,29.2,27.6,1673.3,16214.9,84.3,2400.0,917512
6800,27.9,20.7,31.2,31.2,28.4,1679.3,16214.9,84.8,2400.0,917510
6900,27.7,21.3,28.7,31.9,29.0,1677.5,16214.9,85.4,2400.0,917510
7000,27.9,25.6,22.1,35.6,28.3,1673.5,16214.9,84.3,2400.0,917510
7100,27.2,31.6,22.0,30.9,23.6,1674.7,16214.9,85.9,2400.0,917510
7200,28.3,30.4,24.8,25.7,32.5,1678.5,16214.9,85.9,2400.0,917510
7300,28.1,23.2,34.3,20.5,35.3,1676.2,16214.9,85.9,2400.0,917510
7400,27.8,28.4,33.9,23.7,24.8,1676.9,16214.9,85.4,2400.0,917510
7500,27.8,26.8,29.9,20.7,34.0,1671.0,16214.9,85.4,2400.0,917510
7600,27.9,32.1,24.5,20.7,34.0,1675.7,16214.9,85.4,2400.0,917510
7700,27.9,31.0,27.5,20.8,32.6,1677.8,16214.9,85.4,2400.0,917510
7800,28.4,29.8,32.1,22.7,28.6,1675.9,16214.9,85.9,2400.0,917510
7900,28.0,29.5,31.3,20.3,31.3,1674.0,16214.9,84.3,2400.0,917512
8000,27.8,29.3,28.4,20.5,33.0,1676.8,16214.9,84.8,2400.0,917510
8100,28.6,32.4,30.3,20.1,31.7,1685.6,16214.9,85.4,2400.0,917510
8200,27.7,31.9,36.5,20.3,22.5,1676.5,16214.9,84.8,2400.0,917510
8300,28.1,29.2,33.3,19.2,30.8,1674.0,16214.9,85.4,2400.0,917510
8400,28.0,31.7,28.7,20.4,31.4,1674.7,16214.9,85.4,2400.0,917510
8500,27.8,26.5,34.7,19.7,30.5,1678.0,16214.9,85.4,1800.0,917510
8600,28.5,28.4,30.2,23.0,32.1,1674.3,16214.9,85.4,2400.0,917510
8700,28.1,32.9,27.2,18.4,34.0,1674.2,16214.9,84.3,2400.0,917512
8800,28.0,31.3,29.9,19.6,31.4,1672.7,16214.9,87.0,2400.0,917510
8900,28.3,31.0,31.1,23.3,28.8,1674.0,16214.9,83.7,2400.0,917512
9000,28.7,26.1,30.7,23.2,34.6,1679.8,16214.9,85.9,1900.0,917510
9100,28.2,32.5,27.8,21.9,30.7,1675.1,16214.9,85.9,2400.0,917510
9200,27.9,32.1,29.2,20.4,30.4,1676.9,16214.9,85.9,2400.0,917510
9300,28.0,31.7,34.0,20.4,25.2,1675.2,16214.9,85.4,2400.0,917510
9400,28.3,29.5,28.2,21.4,34.0,1678.4,16214.9,84.8,2400.0,917510
9500,28.6,34.8,26.3,23.8,30.3,1673.6,16214.9,85.9,2400.0,917510
9600,28.4,34.8,32.1,20.9,25.3,1679.2,16214.9,85.9,2400.0,917510
9700,27.7,26.0,30.4,19.8,34.5,1677.0,16214.9,85.4,2400.0,917510
9800,28.0,26.2,31.7,24.0,30.2,1675.0,16214.9,85.4,2400.0,917510
9900,28.1,32.8,34.4,20.9,24.3,1674.6,16214.9,85.9,2400.0,917510
